"RK","PLAYER","TEAM","POS","OFF RTG","OFF RK","DEF RTG","DEF RK","TOT RTG","TOT RK"
"1","Nikola Jokic","DEN","C","6.4","1","1.0","66","7.3","1"
"2","Shai Gilgeous-Alexander","OKC","PG","6.2","2","1.1","57","7.3","1"
"3","Giannis Antetokounmpo","MIL","PF","4.7","3","1.5","18","6.3","3"
"4","Luka Doncic","LAL","PG","4.7","3","0.8","89","5.5","4"
"5","Jayson Tatum","BOS","PF","4.3","7","0.7","95","5.0","5"
"6","Donovan Mitchell","CLE","SG","4.6","5","0.1","186","4.8","6"
"7","Victor Wembanyama","SAS","C","1.9","37","2.5","3","4.4","7"
"8","Joel Embiid","PHI","C","2.8","18","1.4","29","4.2","8"
"9","Stephen Curry","GSW","PG","4.6","5","-0.6","430","4.0","9"
"10","Tyrese Haliburton","IND","PG","4.3","7","-0.5","398","3.8","10"
"11","James Harden","LAC","PG","3.2","16","0.5","123","3.8","10"
"12","Kawhi Leonard","LAC","SF","2.6","23","1.1","57","3.7","12"
"13","Anthony Davis","DAL","PF","2.0","34","1.6","16","3.6","13"
"14","Ivica Zubac","LAC","C","1.0","70","2.4","5","3.4","14"
"15","Evan Mobley","CLE","PF","1.9","37","1.5","18","3.4","14"
"16","Anthony Edwards","MIN","SG","3.4","13","0.0","210","3.3","16"
"17","Jarrett Allen","CLE","C","1.3","56","1.9","11","3.2","17"
"18","Jalen Williams","OKC","SG","1.9","37","1.2","48","3.1","18"
"19","Jimmy Butler","GSW","SF","2.3","28","0.7","95","3.0","19"
"20","Kristaps Porzingis","BOS","C","1.7","46","1.3","37","3.0","19"
"21","Chet Holmgren","OKC","C","0.8","84","2.1","8","2.9","21"
"22","Karl-Anthony Towns","NYK","C","2.3","28","0.5","123","2.9","21"
"23","Kyrie Irving","DAL","SG","3.3","15","-0.5","398","2.8","23"
"24","Jalen Brunson","NYK","PG","4.1","9","-1.2","533","2.8","23"
"25","Damian Lillard","MIL","PG","3.5","11","-0.8","482","2.7","25"
"26","Derrick White","BOS","SG","1.8","41","0.9","79","2.7","25"
"27","Ja Morant","MEM","PG","2.8","18","-0.1","246","2.7","25"
"28","Franz Wagner","ORL","SF","2.0","34","0.7","95","2.7","25"
"29","LeBron James","LAL","SF","2.8","18","-0.1","246","2.7","25"
"30","Darius Garland","CLE","PG","3.4","13","-0.7","460","2.7","25"
"31","Isaiah Hartenstein","OKC","C","0.2","124","2.4","5","2.6","31"
"32","Rudy Gobert","MIN","C","0.0","150","2.6","2","2.6","31"
"33","Jaren Jackson Jr.","MEM","C","1.2","61","1.3","37","2.5","33"
"34","Amen Thompson","HOU","SF","0.6","93","1.9","11","2.5","33"
"35","Zion Williamson","NOP","PF","2.5","24","-0.1","246","2.4","35"
"36","Ty Jerome","CLE","SG","2.4","27","-0.1","246","2.2","36"
"37","Alperen Sengun","HOU","C","1.2","61","1.0","66","2.2","36"
"38","Fred VanVleet","HOU","PG","0.9","75","1.3","37","2.2","36"
"39","Pascal Siakam","IND","PF","1.8","41","0.4","138","2.1","39"
"40","Luke Kornet","BOS","C","0.7","89","1.5","18","2.1","39"
"41","OG Anunoby","NYK","PF","1.1","67","1.0","66","2.1","39"
"42","Alex Caruso","OKC","SG","-0.3","195","2.3","7","2.1","39"
"43","Kevin Durant","PHX","PF","2.5","24","-0.5","398","2.0","43"
"44","Payton Pritchard","BOS","PG","2.2","32","-0.2","293","2.0","43"
"45","Domantas Sabonis","SAC","C","1.5","50","0.4","138","2.0","43"
"46","Devin Booker","PHX","SG","3.7","10","-1.8","562","1.9","46"
"47","Cade Cunningham","DET","PG","2.1","33","-0.2","293","1.9","46"
"48","Jamal Murray","DEN","PG","2.7","21","-0.8","482","1.9","46"
"49","Austin Reaves","LAL","SG","2.5","24","-0.6","430","1.8","49"
"50","Jaylen Brown","BOS","SF","1.9","37","-0.1","246","1.8","49"
"51","Bam Adebayo","MIA","C","0.2","124","1.5","18","1.8","49"
"52","Desmond Bane","MEM","SG","1.8","41","0.0","210","1.8","49"
"53","Jonathan Isaac","ORL","PF","-0.7","251","2.5","3","1.8","49"
"54","Dereck Lively II","DAL","C","0.2","124","1.5","18","1.7","54"
"55","Trae Young","ATL","PG","3.5","11","-1.8","562","1.7","54"
"56","Tari Eason","HOU","PF","0.1","138","1.5","18","1.6","56"
"57","Myles Turner","IND","C","0.6","93","1.1","57","1.6","56"
"58","Tyler Herro","MIA","SG","2.3","28","-0.7","460","1.6","56"
"59","Tyrese Maxey","PHI","PG","2.9","17","-1.3","542","1.5","59"
"60","Draymond Green","GSW","PF","-1.3","368","2.8","1","1.5","59"
"61","LaMelo Ball","CHA","PG","2.7","21","-1.3","542","1.5","59"
"62","Isaiah Joe","OKC","SG","1.3","56","0.1","186","1.4","62"
"63","Aaron Wiggins","OKC","SG","1.6","49","-0.1","246","1.4","62"
"64","Jalen Suggs","ORL","PG","0.0","150","1.5","18","1.4","62"
"65","Goga Bitadze","ORL","C","-0.5","216","2.0","10","1.4","62"
"66","Al Horford","BOS","C","-0.1","161","1.5","18","1.4","62"
"67","Jakob Poeltl","TOR","C","-0.2","179","1.5","18","1.4","62"
"68","Deni Avdija","POR","SF","1.3","56","0.0","210","1.3","68"
"69","Daniel Gafford","DAL","C","0.7","89","0.5","123","1.3","68"
"70","Norman Powell","LAC","SG","1.5","50","-0.2","293","1.3","68"
"71","Ausar Thompson","DET","SF","-0.5","216","1.7","14","1.3","68"
"72","Onyeka Okongwu","ATL","C","0.8","84","0.4","138","1.3","68"
"73","Paolo Banchero","ORL","PF","1.4","53","-0.1","246","1.2","73"
"74","Jalen Duren","DET","C","0.6","93","0.6","109","1.2","73"
"75","Immanuel Quickley","TOR","PG","1.7","46","-0.5","398","1.2","73"
"76","Lonzo Ball","CHI","PG","0.0","150","1.2","48","1.2","73"
"77","Mitchell Robinson","NYK","C","-0.5","216","1.7","14","1.2","73"
"78","De'Aaron Fox","SAS","PG","1.8","41","-0.6","430","1.2","73"
"79","Chris Boucher","TOR","PF","1.2","61","0.0","210","1.2","73"
"80","Aaron Gordon","DEN","PF","1.2","61","0.0","210","1.2","73"
"81","Kevin Love","MIA","PF","0.5","101","0.6","109","1.2","73"
"82","Paul Reed","DET","C","-0.5","216","1.6","16","1.1","82"
"83","Naz Reid","MIN","C","0.5","101","0.7","95","1.1","82"
"84","Josh Hart","NYK","SG","0.5","101","0.7","95","1.1","82"
"85","Jusuf Nurkic","CHA","C","-0.8","270","1.9","11","1.1","82"
"86","Brandin Podziemski","GSW","SG","0.2","124","1.0","66","1.1","82"
"87","D'Angelo Russell","BKN","PG","1.3","56","-0.2","293","1.1","82"
